sku,description,ean,url,brand,title,image_urls,currency,mfr,current_price,price
287084,Microsoft Lumia 550 Features,6438158749115,http://www.expansys.com.sg/microsoft-lumia-550-unlocked-8gb-white-287084/,Microsoft,Microsoft Lumia 550 ,http://i1.expansys.com/img/b/287084/microsoft-lumia-550.jpg,SGD,AP_RM-1127_WHT,SG$189.99,SG$189.99
286639,Microsoft Lumia 950 RM-1104 Features,6438158745759,http://www.expansys.com.sg/microsoft-lumia-950-rm-1104-unlocked-32gb-white-286639/,Microsoft,Microsoft Lumia 950 RM-1104 ,http://i2.expansys.com/img/b/286639/microsoft-lumia-950-rm-1104.jpg,SGD,AP_RM-1104_WHT,SG$754.99,SG$754.99
288280,Sony Xperia X Features,AP_F5121_WHT,http://www.expansys.com.sg/sony-xperia-x-unlocked-32gb-white-288280/,,Sony Xperia X ,http://i1.expansys.com/img/b/288280/sony-xperia-x.jpg,,,,
286534,HTC One A9 - A9u Features,4718487682607,http://www.expansys.com.sg/htc-one-a9-unlocked-32gb-opal-silver-286534/,HTC,HTC One A9 - A9u ,http://i1.expansys.com/img/b/286534/htc-one-a9.jpg,SGD,AP_HTCA9_32_SLV,SG$639.99,SG$639.99
286250,Microsoft Lumia 950 XL RM-1085 Features,6438158745810,http://www.expansys.com.sg/microsoft-lumia-950-xl-rm-1085-unlocked-32gb-white-286250/,Microsoft,Microsoft Lumia 950 XL RM-1085 ,http://i1.expansys.com/img/b/286250/microsoft-lumia-950-xl-rm-1085.jpg,SGD,AP_RM-1085_WHT,SG$729.99,SG$729.99
285627,BlackBerry PRIV - STV100-3 Features,802975061341,http://www.expansys.com.sg/blackberry-priv-stv100-3-unlocked-32gb-black-285627/,,BlackBerry PRIV - STV100-3 ,http://i2.expansys.com/img/b/285627/blackberry-priv-stv100-3.jpg,SGD,802975061341,SG$984.99,SG$984.99
276503,Microsoft Lumia 430 Dual SIM RM-1099 Features,6438158722675,http://www.expansys.com.sg/microsoft-lumia-430-dual-sim-unlocked-8gb-orange-276503/,Microsoft,Microsoft Lumia 430 Dual SIM RM-1099 ,http://i1.expansys.com/img/b/276503/microsoft-lumia-430-dual-sim.jpg,SGD,AP_LUMIA430_ORG,SG$117.99,SG$117.99
285221,LG V10 Dual-SIM H961N Features,8806084998842,http://www.expansys.com.sg/lg-v10-dual-sim-h961n-unlocked-64gb-modern-beige-285221/,LG,LG V10 Dual-SIM H961N ,http://i1.expansys.com/img/b/285221/lg-v10-dual-sim-h961n.jpg,SGD,AP_H961N_BGE,SG$809.31,SG$809.31
265548,Sony SmartWatch 3 SWR50 Features,7311271479062,http://www.expansys.com.sg/sony-smartwatch-3-swr50-black-265548/,Sony,Sony SmartWatch 3 SWR50 ,http://i2.expansys.com/img/b/265548/sony-smartwatch-3-swr50.jpg,SGD,SWR50-Black-Silicon,SG$226.17,SG$226.17
281264,TDK A08 Trek Mini Weatherized Bluetooth Mono Speaker Features,020356622138,http://www.expansys.com.sg/tdk-a08-trek-mini-weathrized-bluetooth-mono-speaker-pink-281264/,,TDK A08 Trek Mini Weatherized Bluetooth Mono Speaker ,http://i1.expansys.com/img/b/281264/tdk-a08-trek-mini-weathrized-bluetooth-mono-speaker.jpg,SGD,020356622138,SG$11.99,SG$11.99
280735,Pioneer Portable Bluetooth Speaker Features,4988028268960,http://www.expansys.com.sg/pioneer-portable-bluetooth-speaker-280735/,Pioneer,Pioneer Portable Bluetooth Speaker,http://i2.expansys.com/img/b/280735/pioneer-portable-bluetooth-speaker.jpg,,XW-LF3-T,,
282803,Apple iPhone 6s A1688 Features,888462562294,http://www.expansys.com.sg/apple-iphone-6s-unlocked-16gb-gold-282803/,,Apple iPhone 6s A1688 ,http://i1.expansys.com/img/b/282803/apple-iphone-6s.jpg,SGD,888462562294,SG$974.99,SG$974.99
284562,Google Nexus 5X LG-H798 - HK Version Features,8806084998484,http://www.expansys.com.sg/google-nexus-5x-unlocked-16gb-quartz-white-284562/,Google,Google Nexus 5X LG-H798 - HK Version ,http://i1.expansys.com/img/b/284562/google-nexus-5x.jpg,SGD,AP_LGH798_16_WHT,SG$554.99,SG$554.99
284513,Meizu m2 note M571H Dual-SIM Features,6937520006370,http://www.expansys.com.sg/meizu-m2-note-dual-sim-unlocked-16gb-white-284513/,Meizu,Meizu m2 note M571H Dual-SIM ,http://i1.expansys.com/img/b/284513/meizu-m2-note-dual-sim.jpg,SGD,AP_M571H_WHT,SG$264.99,SG$264.99
282807,Apple iPhone 6s A1688 Features,888462562652,http://www.expansys.com.sg/apple-iphone-6s-unlocked-16gb-rose-gold-282807/,,Apple iPhone 6s A1688 ,http://i2.expansys.com/img/b/282807/apple-iphone-6s.jpg,SGD,888462562652,SG$974.99,SG$974.99
276480,Microsoft Lumia 640 Dual SIM RM-1113 Features,6438158721722,http://www.expansys.com.sg/microsoft-lumia-640-dual-sim-unlocked-lte-8gb-orange-276480/,Microsoft,Microsoft Lumia 640 Dual SIM RM-1113 ,http://i1.expansys.com/img/b/276480/microsoft-lumia-640-dual-sim.jpg,SGD,AP_LUMIA640_ORG,SG$244.99,SG$244.99
